Year,NPV
Utility Bills,472273990.6590992
Utility Bills (volumetric),440588970.16517293
Utility Bills (demand),21037020.117979277
Utility Bills (res),415255386.3481279
Utility Bills (work),28663288.65249849
Utility Bills (pub L2),9359669.096628321
Utility Bills (DCFC),18995646.56184468
Incremental upfront vehicle cost,27565172.17106922
Charging infrastructure cost,303031437.72043407
Charging infrastructure cost (res),156321456.6399389
Charging infrastructure cost (work L2),62718395.29634939
Charging infrastructure cost (public L2),37631037.17780964
Charging infrastructure cost (DCFC),46360548.606336184
Avoided vehicle gasoline,818598837.0847996
Vehicle O&M Savings,187953909.68676615
Federal EV Tax Credit,92755591.89385808
Total Energy Supply Cost,315897246.16537374
Energy Cost,271779866.0480114
Generation Capacity Cost,44117380.11736244
Vehicle Sales (NPV),71477.53848571365
Transmission and Distribution Cost,86879542.0088668
Distribution Cost,72989330.04159059
Transmission Cost,13890211.96727623
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
