Year,NPV
Utility Bills,1749182916.4835958
Utility Bills (volumetric),1631762534.6844785
Utility Bills (demand),77973320.43707414
Utility Bills (res),1537733785.5631106
Utility Bills (work),105916134.89795153
Utility Bills (pub L2),34657755.16134714
Utility Bills (DCFC),70875240.86118634
Incremental upfront vehicle cost,102228485.27580348
Charging infrastructure cost,1123814164.571393
Charging infrastructure cost (res),579729508.742002
Charging infrastructure cost (work L2),232595735.2746929
Charging infrastructure cost (public L2),139557441.16481575
Charging infrastructure cost (DCFC),171931479.38988224
Avoided vehicle gasoline,3035839401.5310035
Vehicle O&M Savings,697041444.9645742
Federal EV Tax Credit,343994356.40462774
Total Energy Supply Cost,1170154919.0051968
Energy Cost,1006965882.0931222
Generation Capacity Cost,163189036.91207424
Vehicle Sales (NPV),265079.69116906135
Transmission and Distribution Cost,321380788.2383655
Distribution Cost,270072337.04478174
Transmission Cost,51308451.19358372
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
