Year,NPV
Utility Bills,189256384.37220168
Utility Bills (volumetric),172080509.01951972
Utility Bills (demand),13515304.635045674
Utility Bills (res),160761115.80536717
Utility Bills (work),17220853.02222087
Utility Bills (pub L2),4600027.551170487
Utility Bills (DCFC),6674387.993443135
Incremental upfront vehicle cost,12483350.97035749
Charging infrastructure cost,58217588.441815004
Charging infrastructure cost (res),30016597.47951261
Charging infrastructure cost (work L2),12027647.450395405
Charging infrastructure cost (public L2),7216588.470237242
Charging infrastructure cost (DCFC),8956755.041669752
Avoided vehicle gasoline,198714653.49385077
Vehicle O&M Savings,40807895.571694605
Federal EV Tax Credit,42005926.93157713
Total Energy Supply Cost,68820752.13460748
Energy Cost,56732419.96844657
Generation Capacity Cost,12088332.166160932
Vehicle Sales (NPV),13954.764039719052
Transmission and Distribution Cost,6328109.1914433865
Distribution Cost,4960185.982375637
Transmission Cost,1367923.20906775
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
