Year,NPV
Utility Bills,32283119.7585199
Utility Bills (volumetric),29065670.726294268
Utility Bills (demand),2560856.9006288927
Utility Bills (res),27449017.744184982
Utility Bills (work),2775886.7841402628
Utility Bills (pub L2),805653.6167326318
Utility Bills (DCFC),1252561.6134620172
Incremental upfront vehicle cost,1192990.875400466
Charging infrastructure cost,13117862.261459988
Charging infrastructure cost (res),6766966.257305944
Charging infrastructure cost (work L2),2715003.845928195
Charging infrastructure cost (public L2),1629002.307556917
Charging infrastructure cost (DCFC),2006889.8506689284
Avoided vehicle gasoline,35434579.851734355
Vehicle O&M Savings,8136118.338532888
Federal EV Tax Credit,4014361.8216860164
Total Energy Supply Cost,12605150.186406057
Energy Cost,10663143.44359582
Generation Capacity Cost,1942006.742810237
Vehicle Sales (NPV),3094.167255353255
Transmission and Distribution Cost,939192.3372440664
Distribution Cost,692293.4140062929
Transmission Cost,246898.92323777333
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
