Year,NPV
Utility Bills,4094951054.779557
Utility Bills (volumetric),3769793841.577528
Utility Bills (demand),233995414.6968765
Utility Bills (res),3561560767.4234786
Utility Bills (work),288811787.070885
Utility Bills (pub L2),79910189.12886025
Utility Bills (DCFC),164668311.15633354
Incremental upfront vehicle cost,236371212.4855592
Charging infrastructure cost,2598458329.897854
Charging infrastructure cost (res),1340437784.7541475
Charging infrastructure cost (work L2),537802727.7948592
Charging infrastructure cost (public L2),322681636.6769155
Charging infrastructure cost (DCFC),397536180.671931
Avoided vehicle gasoline,7019405320.778163
Vehicle O&M Savings,1611684357.3114612
Federal EV Tax Credit,795378733.1601678
Total Energy Supply Cost,2690075625.644678
Energy Cost,2317619434.8636594
Generation Capacity Cost,372456190.78102016
Vehicle Sales (NPV),612911.4402446302
Transmission and Distribution Cost,712345529.3356241
Distribution Cost,599575974.0499461
Transmission Cost,112769555.28567797
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
