Year,NPV
Utility Bills,4611473378.972729
Utility Bills (volumetric),4257126917.880267
Utility Bills (demand),245306228.3452949
Utility Bills (res),4049578750.6718035
Utility Bills (work),304981278.13272285
Utility Bills (pub L2),80901308.64468667
Utility Bills (DCFC),176012041.52351683
Incremental upfront vehicle cost,266096684.19875354
Charging infrastructure cost,2925228563.047139
Charging infrastructure cost (res),1509005107.7546926
Charging infrastructure cost (work L2),605434337.1776174
Charging infrastructure cost (public L2),363260602.3065705
Charging infrastructure cost (DCFC),447528515.80825883
Avoided vehicle gasoline,7902136561.113169
Vehicle O&M Savings,1814362742.5130625
Federal EV Tax Credit,895403637.9918985
Total Energy Supply Cost,2990535201.4657693
Energy Cost,2553546933.2904162
Generation Capacity Cost,436988268.1753509
Vehicle Sales (NPV),689988.3950395605
Transmission and Distribution Cost,890992026.5947038
Distribution Cost,747017434.6873975
Transmission Cost,143974591.90730628
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
