Year,NPV
Utility Bills,2253052361.6201053
Utility Bills (volumetric),1822585259.9429188
Utility Bills (demand),376282584.1826014
Utility Bills (res),1611393467.7007363
Utility Bills (work),368977748.8755858
Utility Bills (pub L2),186129820.77091682
Utility Bills (DCFC),86551324.27286601
Incremental upfront vehicle cost,91083950.60799088
Charging infrastructure cost,1458964362.7546368
Charging infrastructure cost (res),516528460.075235
Charging infrastructure cost (work L2),351013663.5721151
Charging infrastructure cost (public L2),402415755.12758034
Charging infrastructure cost (DCFC),189006483.9797063
Avoided vehicle gasoline,2704879066.985461
Vehicle O&M Savings,621051413.2162845
Federal EV Tax Credit,306493487.4429055
Total Energy Supply Cost,1007994532.5763457
Energy Cost,876820915.5040306
Generation Capacity Cost,131173617.07231508
Vehicle Sales (NPV),236181.19627465372
Transmission and Distribution Cost,163399653.3306534
Distribution Cost,142488525.894955
Transmission Cost,20911127.43569836
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
