Year,NPV
Utility Bills,25976028.922111373
Utility Bills (volumetric),23434466.636617925
Utility Bills (demand),2058086.3258719598
Utility Bills (res),22039063.91495571
Utility Bills (work),2209453.2000584123
Utility Bills (pub L2),601686.4040072076
Utility Bills (DCFC),1125825.4030900388
Incremental upfront vehicle cost,959670.1919694084
Charging infrastructure cost,10555342.453575004
Charging infrastructure cost (res),5445068.148375588
Charging infrastructure cost (work L2),2184639.969757028
Charging infrastructure cost (public L2),1310783.9818542167
Charging infrastructure cost (DCFC),1614850.3535881704
Avoided vehicle gasoline,28510997.016713254
Vehicle O&M Savings,6546581.781278385
Federal EV Tax Credit,3229247.9846158763
Total Energy Supply Cost,10061722.318095826
Energy Cost,8539689.746439235
Generation Capacity Cost,1522032.571656588
Vehicle Sales (NPV),2489.726040693197
Transmission and Distribution Cost,740271.5452754602
Distribution Cost,548584.0343607438
Transmission Cost,191687.51091471643
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
