Year,NPV
Utility Bills,206712807.85874298
Utility Bills (volumetric),190946895.99105895
Utility Bills (demand),11883574.296248322
Utility Bills (res),178408614.7635487
Utility Bills (work),16242029.504943976
Utility Bills (pub L2),5097016.34009111
Utility Bills (DCFC),6965147.25015917
Incremental upfront vehicle cost,7736386.113408959
Charging infrastructure cost,85047650.93463644
Charging infrastructure cost (res),43872585.450234145
Charging infrastructure cost (work L2),17602306.166992884
Charging infrastructure cost (public L2),10561383.700195732
Charging infrastructure cost (DCFC),13011375.617213685
Avoided vehicle gasoline,229745123.32471743
Vehicle O&M Savings,52750462.037959106
Federal EV Tax Credit,26032598.984519158
Total Energy Supply Cost,82443172.67030162
Energy Cost,69715783.53639197
Generation Capacity Cost,12727389.133909646
Vehicle Sales (NPV),20060.615675099318
Transmission and Distribution Cost,6964604.681533095
Distribution Cost,5332633.272851226
Transmission Cost,1631971.408681869
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
