Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,5157855.007702184,6227839.82252536,7298624.786106143,8387790.666695752,9464445.001346465,10511865.827789169,15416457.697899267,20320242.934021205,25271893.52794506,30263737.100225132,38608754.289187446,37918762.30351502,36853557.22490474,35790135.79380335,34795101.12373079,33795761.83918741,32536274.790790543,27657402.646642495,22787803.288798414,17920209.582579363
Utility Bills (res),4430534.22339753,5350108.239583147,6269971.204996135,7189528.478868504,8109423.505731877,9029537.908281283,13243119.846080791,17456373.678466644,21669607.63050442,25883292.498928357,33416401.213314362,32890740.9170864,31971596.400198977,31053960.68708,30130036.49892538,29207415.135979634,28239013.102218613,24033044.961073674,19825621.43468211,15618425.570835417
Utility Bills (work),413925.7681010912,499506.89094470796,585302.219515064,689263.4170001155,780733.2363523651,843475.174440381,1236747.7330655046,1629794.8663519542,2068592.9161570931,2546217.776576797,3013654.5939931353,2885592.514122982,2799258.255875638,2711845.334388098,2697879.2327688546,2678867.9973072233,2465343.7664571432,2060952.378468672,1666972.3212511952,1274024.8373011856
Utility Bills (pub L2),124502.19866689845,150260.31330786296,176125.94924628394,202401.74505921203,228398.8927772888,253785.40020812285,372074.3282685316,490270.4881256577,609772.5815036395,730098.5872413304,960639.5343905078,943741.2083304598,918009.9830425803,892693.5337184783,869952.4471728561,846960.9542599423,817128.8503517752,700722.2523259674,584737.8769998479,469020.3763402991
Utility Bills (DCFC),188892.81753666484,227964.37868964145,267225.41234865994,306597.02576792054,345889.3664849334,385067.3448593816,564515.7904844399,743803.901076947,923920.3997799096,1104128.2374786476,1218058.947489441,1198687.6639751724,1164692.5857875452,1131636.2386167718,1097232.9448637057,1062517.7516406178,1014789.0717630129,862683.0547741803,710471.6558652613,558738.79810246
Incremental upfront vehicle cost,2489019.690205305,3110969.825934109,1863660.7225395134,931824.6868854898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,2760930.114317762,4838832.277026192,4843270.56300833,4847722.163848417,4852187.119491017,4856665.47000055,22270371.207940128,22291011.11480839,22311712.941397265,22332476.873465896,23221292.86381413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),1425882.0406767328,2498771.8560730624,2500820.762744401,2502875.816135756,2504937.034687281,2507004.436894463,11494814.183535567,11504342.466086173,11513899.333484432,11523484.871484885,11933801.155641995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),573713.4810130288,1005156.2259121325,1005738.0142262165,1006321.5479052427,1006906.8321853059,1007493.8723182093,4618319.089152075,4621024.650863974,4623738.3292610105,4626460.14869324,4742969.710861304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),344228.0886078173,603093.7355472791,603442.8085357301,603792.9287431459,604144.0993111831,604496.3233909258,2770991.453491244,2772614.790518386,2774242.9975566063,2775876.0892159436,2845781.826516784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
