Year,NPV
Utility Bills,276870382.844542
Utility Bills (volumetric),255992362.4957042
Utility Bills (demand),15735596.901643388
Utility Bills (res),238613200.89930248
Utility Bills (work),21593561.10458692
Utility Bills (pub L2),6840955.8845153
Utility Bills (DCFC),9822664.956137365
Incremental upfront vehicle cost,10435545.32917241
Charging infrastructure cost,114718174.85339181
Charging infrastructure cost (res),59178388.14359656
Charging infrastructure cost (work L2),23743211.843837816
Charging infrastructure cost (public L2),14245927.106302688
Charging infrastructure cost (DCFC),17550647.759654734
Avoided vehicle gasoline,309897153.87731034
Vehicle O&M Savings,71153596.29850963
Federal EV Tax Credit,35115151.022291884
Total Energy Supply Cost,110640600.6295147
Energy Cost,93714655.07529719
Generation Capacity Cost,16925945.554217525
Vehicle Sales (NPV),27059.156147272824
Transmission and Distribution Cost,9467938.0094295
Distribution Cost,7250891.915674698
Transmission Cost,2217046.093754802
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
