Year,NPV
Utility Bills,13610377.651450815
Utility Bills (volumetric),12210435.881248083
Utility Bills (demand),1142117.774793047
Utility Bills (res),11468719.051003378
Utility Bills (work),1215621.3471967909
Utility Bills (pub L2),302389.991406368
Utility Bills (DCFC),623647.2618442788
Incremental upfront vehicle cost,496500.85908692266
Charging infrastructure cost,5457283.550550718
Charging infrastructure cost (res),2815187.9812480193
Charging infrastructure cost (work L2),1129493.3490913678
Charging infrastructure cost (public L2),677696.0094548207
Charging infrastructure cost (DCFC),834906.2107565098
Avoided vehicle gasoline,14742584.975456141
Vehicle O&M Savings,3384908.653973086
Federal EV Tax Credit,1670703.5520986621
Total Energy Supply Cost,5206604.4222403625
Energy Cost,4414211.662628074
Generation Capacity Cost,792392.7596122882
Vehicle Sales (NPV),1287.239219090148
Transmission and Distribution Cost,461347.3662328609
Distribution Cost,359034.63881724473
Transmission Cost,102312.7274156161
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
