Year,NPV
Utility Bills,823361467.0709176
Utility Bills (volumetric),729937145.5866659
Utility Bills (demand),73212356.62203622
Utility Bills (res),708229135.0754286
Utility Bills (work),65396074.50331196
Utility Bills (pub L2),20801105.70952795
Utility Bills (DCFC),28935151.782648947
Incremental upfront vehicle cost,60722402.26972859
Charging infrastructure cost,283193157.29741704
Charging infrastructure cost (res),146012492.57887498
Charging infrastructure cost (work L2),58507193.64593384
Charging infrastructure cost (public L2),35104316.1875603
Charging infrastructure cost (DCFC),43569154.885047965
Avoided vehicle gasoline,966617230.5264238
Vehicle O&M Savings,198504605.47333494
Federal EV Tax Credit,204328212.74582875
Total Energy Supply Cost,363667084.2145541
Energy Cost,304540601.2014401
Generation Capacity Cost,59126483.013113946
Vehicle Sales (NPV),67881.39245859432
Transmission and Distribution Cost,53666371.22961379
Distribution Cost,45293374.88288994
Transmission Cost,8372996.34672385
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
