Year,NPV
Utility Bills,4050290865.098112
Utility Bills (volumetric),3778664571.6494823
Utility Bills (demand),180305462.56388015
Utility Bills (res),3562931970.9954405
Utility Bills (work),244225161.05724138
Utility Bills (pub L2),79682801.89603956
Utility Bills (DCFC),163450931.14939106
Incremental upfront vehicle cost,236371212.4855592
Charging infrastructure cost,2547339260.6314898
Charging infrastructure cost (res),1340437784.7541475
Charging infrastructure cost (work L2),542262730.096519
Charging infrastructure cost (public L2),296020567.7890734
Charging infrastructure cost (DCFC),368618177.9917499
Avoided vehicle gasoline,7019405320.778163
Vehicle O&M Savings,1611684357.3114612
Federal EV Tax Credit,795378733.1601678
Total Energy Supply Cost,2711106637.4675016
Energy Cost,2332416245.4981017
Generation Capacity Cost,378690391.96940124
Vehicle Sales (NPV),612911.4402446302
Transmission and Distribution Cost,741671945.1574035
Distribution Cost,622959184.8949292
Transmission Cost,118712760.26247416
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
