Year,NPV
Utility Bills,30898545.965273898
Utility Bills (volumetric),27803770.855356235
Utility Bills (demand),2493703.552995203
Utility Bills (res),26024018.627272684
Utility Bills (work),2893260.863067998
Utility Bills (pub L2),809487.2132078239
Utility Bills (DCFC),1171779.2617253975
Incremental upfront vehicle cost,1141604.772501959
Charging infrastructure cost,12554568.031640075
Charging infrastructure cost (res),6476386.243957158
Charging infrastructure cost (work L2),2598419.319119468
Charging infrastructure cost (public L2),1559051.591471681
Charging infrastructure cost (DCFC),1920710.8770917705
Avoided vehicle gasoline,33912072.89466782
Vehicle O&M Savings,7786642.010534425
Federal EV Tax Credit,3841449.8456646167
Total Energy Supply Cost,11940817.119265985
Energy Cost,10131510.330829764
Generation Capacity Cost,1809306.7884362105
Vehicle Sales (NPV),2961.295702844426
Transmission and Distribution Cost,878508.7794578889
Distribution Cost,649505.8282816702
Transmission Cost,229002.95117621848
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
