Year,NPV
Utility Bills,160515173.6725704
Utility Bills (volumetric),146271056.63190857
Utility Bills (demand),11251329.2547846
Utility Bills (res),136884106.94253743
Utility Bills (work),14274690.409299225
Utility Bills (pub L2),3847326.6346324505
Utility Bills (DCFC),5509049.686101318
Incremental upfront vehicle cost,5955927.088655293
Charging infrastructure cost,65476488.3792332
Charging infrastructure cost (res),33776627.919645935
Charging infrastructure cost (work L2),13551664.555581441
Charging infrastructure cost (public L2),8130998.733348866
Charging infrastructure cost (DCFC),10017197.170656955
Avoided vehicle gasoline,176875248.48072168
Vehicle O&M Savings,40611421.52111861
Federal EV Tax Credit,20041432.6802101
Total Energy Supply Cost,62796376.39034869
Energy Cost,53302927.46306041
Generation Capacity Cost,9493448.927288264
Vehicle Sales (NPV),15444.262451999077
Transmission and Distribution Cost,4599099.239769967
Distribution Cost,3403572.492092488
Transmission Cost,1195526.747677479
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
