Year,NPV
Utility Bills,2235718670.9414783
Utility Bills (volumetric),1940936743.1126413
Utility Bills (demand),242579033.90103716
Utility Bills (res),1884971081.6519198
Utility Bills (work),222217526.1890078
Utility Bills (pub L2),54873707.56476916
Utility Bills (DCFC),73656355.53578168
Incremental upfront vehicle cost,91083950.60799088
Charging infrastructure cost,981599623.8074632
Charging infrastructure cost (res),516528460.075235
Charging infrastructure cost (work L2),208957205.1103416
Charging infrastructure cost (public L2),114069485.26477435
Charging infrastructure cost (DCFC),142044473.35711235
Avoided vehicle gasoline,2704879066.985461
Vehicle O&M Savings,621051413.2162845
Federal EV Tax Credit,306493487.4429055
Total Energy Supply Cost,1035711080.0582317
Energy Cost,892952478.3736819
Generation Capacity Cost,142758601.68455032
Vehicle Sales (NPV),236181.19627465372
Transmission and Distribution Cost,161563032.27353305
Distribution Cost,139846803.1383685
Transmission Cost,21716229.135164548
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
