Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,3461077.7234211126,4179593.804601915,4898106.937194206,5609283.787301338,6323398.155680725,7051275.1617301935,10345725.722260173,13637765.634694144,16910294.78417191,20166890.047066063,26081411.756125983,25693431.877841257,24985105.993462354,24267659.482726432,23526011.243266735,22784019.763109077,22042909.034453865,18766257.42405721,15479461.523982208,12192281.323560828
Utility Bills (res),3048720.853918778,3681643.5081288572,4314567.595801397,4940765.042374748,5569810.839932313,6211161.707373343,9113152.07241023,12012983.476784702,14895001.242408853,17763128.7439844,22896395.207376856,22560084.895093296,21936152.684014186,21304509.63198543,20644949.984621968,19985828.342032447,19338227.24809929,16453462.258903679,13558825.974948369,10663873.904985094
Utility Bills (work),214756.68839105545,259324.71435205993,303887.1815677396,348903.2192144782,393500.81882568396,437696.47360772674,641905.0494179328,846161.0967370649,1051506.469832426,1256868.6745058272,1582419.035667505,1555572.5017305985,1510921.6932084318,1466169.8537719797,1423314.0810823538,1379375.8752664162,1332208.8111501262,1127650.0719748363,923442.9165955107,719191.7541214924
Utility Bills (pub L2),66213.85367317355,79958.90931088215,93703.60140113712,107436.6706445546,121165.66720378403,134940.81613081173,197921.85160927428,260901.1584778717,323845.5225964067,386695.6969605298,527251.15602278,519476.77900960867,505743.6024941001,491987.48908777244,478163.16891673557,464276.4165152019,450321.5615719915,387360.8095240738,324381.5026554762,261400.15172327383
Utility Bills (DCFC),131386.32743810606,158666.67281011597,185948.55842393194,212178.85506755757,238920.82971894398,267476.1646183115,392746.74882273696,517719.90269450523,639941.5493342223,760196.9316153042,1075346.3570588408,1058297.702007755,1032288.0137456369,1004992.5078812523,979584.0086456782,954539.1292950117,922151.4136324567,797784.2836546219,672811.1297828525,547815.5127309683
Incremental upfront vehicle cost,2627534.3843913977,3284096.2321884097,1967374.0021351073,983681.0109020954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,2914576.705366769,5108114.7482367,5112800.026168297,5117499.359933687,5122212.791700376,5126940.3637623545,23511707.101166207,23533497.462914154,23555353.19574734,23577274.495779023,24515555.21769585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),1505232.804990489,2637829.2612220896,2639992.1901657768,2642161.607896295,2644337.533880004,2646519.9876416614,12135527.591442283,12145586.97421661,12155676.535139259,12165796.364744676,12598947.729587164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),605640.8087419645,1061093.4721257158,1061707.6371344165,1062323.6446381437,1062941.5001643836,1063561.209257198,4875741.1679404015,4878597.535888667,4881462.472940777,4884336.004804044,5007329.602228454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),363384.4852451786,636656.0832754293,637024.5822806502,637394.1867828865,637764.9000986296,638136.7255543186,2925444.70076424,2927158.521533201,2928877.483764466,2930601.6028824258,3004397.7613370717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
