Year,NPV
Utility Bills,484792403.33578837
Utility Bills (volumetric),442845691.6428127
Utility Bills (demand),32976747.21293002
Utility Bills (res),413845181.17124486
Utility Bills (work),43385933.80214761
Utility Bills (pub L2),11694221.788004255
Utility Bills (DCFC),15867066.57439166
Incremental upfront vehicle cost,17971942.285354745
Charging infrastructure cost,197572120.08270967
Charging infrastructure cost (res),101919331.98103823
Charging infrastructure cost (work L2),40891488.21852349
Charging infrastructure cost (public L2),24534892.93111409
Charging infrastructure cost (DCFC),30226406.95203387
Avoided vehicle gasoline,533713741.7603312
Vehicle O&M Savings,122543134.87999801
Federal EV Tax Credit,60474795.28932235
Total Energy Supply Cost,190327779.38138428
Energy Cost,161422814.52268043
Generation Capacity Cost,28904964.85870373
Vehicle Sales (NPV),46602.317891649254
Transmission and Distribution Cost,18491137.34651582
Distribution Cost,14878211.042775454
Transmission Cost,3612926.3037403664
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
