Year,NPV
Utility Bills,10871262.920792203
Utility Bills (volumetric),9619213.19396725
Utility Bills (demand),1037618.0122530597
Utility Bills (res),9035137.541558802
Utility Bills (work),1032746.5863960963
Utility Bills (pub L2),256971.2765636598
Utility Bills (DCFC),546407.5162736449
Incremental upfront vehicle cost,397200.6872695381
Charging infrastructure cost,4372059.986216567
Charging infrastructure cost (res),2255367.0283097513
Charging infrastructure cost (work L2),904886.460307952
Charging infrastructure cost (public L2),542931.8761847711
Charging infrastructure cost (DCFC),668874.6214140933
Avoided vehicle gasoline,11807636.378796538
Vehicle O&M Savings,2711422.3463538694
Federal EV Tax Credit,1336562.84167893
Total Energy Supply Cost,4159534.2532711932
Energy Cost,3520169.294147219
Generation Capacity Cost,639364.9591239758
Vehicle Sales (NPV),1031.2440514646657
Transmission and Distribution Cost,476878.3497677946
Distribution Cost,395179.78354476194
Transmission Cost,81698.56622303255
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
