Year,NPV
Utility Bills,1372565883.7817814
Utility Bills (volumetric),1254210403.5839486
Utility Bills (demand),92823603.53929983
Utility Bills (res),1172584482.1482215
Utility Bills (work),123117865.52364041
Utility Bills (pub L2),32973521.362750027
Utility Bills (DCFC),43890014.747169584
Incremental upfront vehicle cost,51076397.46752378
Charging infrastructure cost,561492644.8560166
Charging infrastructure cost (res),289650963.4586908
Charging infrastructure cost (work L2),116212091.99132077
Charging infrastructure cost (public L2),69727255.19479246
Charging infrastructure cost (DCFC),85902334.21121259
Avoided vehicle gasoline,1516799311.7497184
Vehicle O&M Savings,348263574.06661105
Federal EV Tax Credit,171869830.86862236
Total Energy Supply Cost,538924426.766309
Energy Cost,456791017.7205566
Generation Capacity Cost,82133409.04575212
Vehicle Sales (NPV),132442.08563546627
Transmission and Distribution Cost,44507919.21686592
Distribution Cost,34164775.91638386
Transmission Cost,10343143.300482055
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
