Year,NPV
Utility Bills,2134944440.846969
Utility Bills (volumetric),1715284914.988503
Utility Bills (demand),364620619.92209816
Utility Bills (res),1351423003.031692
Utility Bills (work),195280498.1224003
Utility Bills (pub L2),249907299.2597468
Utility Bills (DCFC),338333640.4331297
Incremental upfront vehicle cost,91083950.60799088
Charging infrastructure cost,1941651553.0696423
Charging infrastructure cost (res),516528460.075235
Charging infrastructure cost (work L2),241504612.01601657
Charging infrastructure cost (public L2),540416980.7445947
Charging infrastructure cost (DCFC),643201500.2337959
Avoided vehicle gasoline,2704879066.985461
Vehicle O&M Savings,621051413.2162845
Federal EV Tax Credit,306493487.4429055
Total Energy Supply Cost,1014359380.5723561
Energy Cost,882089991.4500201
Generation Capacity Cost,132269389.12233603
Vehicle Sales (NPV),236181.19627465372
Transmission and Distribution Cost,216229220.86185175
Distribution Cost,192495570.59925324
Transmission Cost,23733650.262598522
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
