Year,NPV
Utility Bills,468224332.0002174
Utility Bills (volumetric),393526365.8297471
Utility Bills (demand),59027541.179771975
Utility Bills (res),296125132.36521304
Utility Bills (work),49630388.98630121
Utility Bills (pub L2),53280251.526204966
Utility Bills (DCFC),69188559.1224982
Incremental upfront vehicle cost,17971942.285354745
Charging infrastructure cost,383118917.6613363
Charging infrastructure cost (res),101919331.98103823
Charging infrastructure cost (work L2),47652726.07279096
Charging infrastructure cost (public L2),106632921.55596194
Charging infrastructure cost (DCFC),126913938.05154519
Avoided vehicle gasoline,533713741.7603312
Vehicle O&M Savings,122543134.87999801
Federal EV Tax Credit,60474795.28932235
Total Energy Supply Cost,185159305.95956913
Energy Cost,158815696.58851713
Generation Capacity Cost,26343609.371051956
Vehicle Sales (NPV),46602.317891649254
Transmission and Distribution Cost,26729731.38889416
Distribution Cost,22974119.406677675
Transmission Cost,3755611.982216476
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
