Year,NPV
Utility Bills,15637768459.023932
Utility Bills (volumetric),14593987411.445463
Utility Bills (demand),693352550.3589936
Utility Bills (res),13754911313.836483
Utility Bills (work),945617767.0187924
Utility Bills (pub L2),306076470.29790974
Utility Bills (DCFC),631162907.8707445
Incremental upfront vehicle cost,787905893.3699868
Charging infrastructure cost,10474971074.856491
Charging infrastructure cost (res),5403961636.917302
Charging infrastructure cost (work L2),2168500699.5921383
Charging infrastructure cost (public L2),1301100419.7552829
Charging infrastructure cost (DCFC),1601408318.5917664
Avoided vehicle gasoline,27345557034.124474
Vehicle O&M Savings,6389225049.103651
Federal EV Tax Credit,2651268674.9294252
Total Energy Supply Cost,10602016428.525513
Energy Cost,9162841604.273853
Generation Capacity Cost,1439174824.251662
Vehicle Sales (NPV),2465673.2486026683
Transmission and Distribution Cost,2944852765.4827757
Distribution Cost,2483087242.0574627
Transmission Cost,461765523.425313
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
