Year,NPV
Utility Bills,6036484.742222728
Utility Bills (volumetric),5496779.820908934
Utility Bills (demand),397375.3144416282
Utility Bills (res),5232157.114904914
Utility Bills (work),451300.2055461696
Utility Bills (pub L2),124250.82518510935
Utility Bills (DCFC),228776.59658653534
Incremental upfront vehicle cost,349286.6183506603
Charging infrastructure cost,3840541.1966623357
Charging infrastructure cost (res),1981177.4067028307
Charging infrastructure cost (work L2),794876.7428950205
Charging infrastructure cost (public L2),476926.04573701223
Charging infrastructure cost (DCFC),587561.0013274724
Avoided vehicle gasoline,10374320.28007788
Vehicle O&M Savings,2382034.792617114
Federal EV Tax Credit,1175334.1072805976
Total Energy Supply Cost,3919030.487402274
Energy Cost,3365690.52799398
Generation Capacity Cost,553339.9594082924
Vehicle Sales (NPV),905.8855498979397
Transmission and Distribution Cost,1030108.5972842851
Distribution Cost,867247.6071753255
Transmission Cost,162860.99010895964
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
