Year,NPV
Utility Bills,43247671.948935404
Utility Bills (volumetric),39102611.789193
Utility Bills (demand),3326511.455351115
Utility Bills (res),36585717.21391391
Utility Bills (work),4052139.4771556854
Utility Bills (pub L2),1049594.7408309306
Utility Bills (DCFC),1560220.517034881
Incremental upfront vehicle cost,1595746.8170374092
Charging infrastructure cost,17546996.09787763
Charging infrastructure cost (res),9051774.555714019
Charging infrastructure cost (work L2),3631701.7823042776
Charging infrastructure cost (public L2),2179021.0693825665
Charging infrastructure cost (DCFC),2684498.690476766
Avoided vehicle gasoline,47398490.00231909
Vehicle O&M Savings,10883178.14688089
Federal EV Tax Credit,5369617.849961853
Total Energy Supply Cost,16732405.248250213
Energy Cost,14235251.101183739
Generation Capacity Cost,2497154.14706647
Vehicle Sales (NPV),4138.884864517832
Transmission and Distribution Cost,2345793.2009321945
Distribution Cost,2031997.9636737236
Transmission Cost,313795.23725847097
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
