Year,NPV
Utility Bills,498110097.8600395
Utility Bills (volumetric),460966163.7643425
Utility Bills (demand),27691733.208231974
Utility Bills (res),431229022.3971255
Utility Bills (work),38476643.9801344
Utility Bills (pub L2),12152763.437316155
Utility Bills (DCFC),16251668.045463514
Incremental upfront vehicle cost,18724679.25213828
Charging infrastructure cost,205846232.3128348
Charging infrastructure cost (res),106187606.02809402
Charging infrastructure cost (work L2),42603980.388586104
Charging infrastructure cost (public L2),25562388.23315166
Charging infrastructure cost (DCFC),31492257.663003013
Avoided vehicle gasoline,556065635.4708384
Vehicle O&M Savings,127675171.72099228
Federal EV Tax Credit,63007722.073203415
Total Energy Supply Cost,199250743.35594591
Energy Cost,168660909.30318484
Generation Capacity Cost,30589834.052761327
Vehicle Sales (NPV),48553.97668361018
Transmission and Distribution Cost,20060650.58707983
Distribution Cost,16093976.774844619
Transmission Cost,3966673.8122352096
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
