Year,NPV
Utility Bills,68965186.36274354
Utility Bills (volumetric),63540436.86040627
Utility Bills (demand),4123186.172389419
Utility Bills (res),59604438.1053334
Utility Bills (work),5258623.284111809
Utility Bills (pub L2),1601510.1677000136
Utility Bills (DCFC),2500614.8055983116
Incremental upfront vehicle cost,2554028.195414967
Charging infrastructure cost,28079079.974802367
Charging infrastructure cost (res),14484842.997173676
Charging infrastructure cost (work L2),5811525.73732092
Charging infrastructure cost (public L2),3486915.4423925523
Charging infrastructure cost (DCFC),4295795.797915223
Avoided vehicle gasoline,75850848.77065507
Vehicle O&M Savings,17415809.08692699
Federal EV Tax Credit,8594192.537928503
Total Energy Supply Cost,27421526.12901389
Energy Cost,23232928.718927138
Generation Capacity Cost,4188597.4100867487
Vehicle Sales (NPV),6623.147309739108
Transmission and Distribution Cost,2439751.1409462383
Distribution Cost,1901192.8622427243
Transmission Cost,538558.2787035143
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
