Year,NPV
Utility Bills,199575903.44777724
Utility Bills (volumetric),181240565.4079059
Utility Bills (demand),14563651.440013915
Utility Bills (res),169809293.01110992
Utility Bills (work),17796460.103563387
Utility Bills (pub L2),4986685.787539135
Utility Bills (DCFC),6983464.545564782
Incremental upfront vehicle cost,7372516.952343857
Charging infrastructure cost,81049199.7785063
Charging infrastructure cost (res),41809949.25907101
Charging infrastructure cost (work L2),16774747.468268007
Charging infrastructure cost (public L2),10064848.480960801
Charging infrastructure cost (DCFC),12399654.57020648
Avoided vehicle gasoline,218942971.5688082
Vehicle O&M Savings,50270341.57944703
Federal EV Tax Credit,24808195.26242168
Total Energy Supply Cost,77976986.22136287
Energy Cost,66123325.21628759
Generation Capacity Cost,11853661.00507528
Vehicle Sales (NPV),19117.47635079686
Transmission and Distribution Cost,9169983.910031589
Distribution Cost,7684924.791380782
Transmission Cost,1485059.1186508075
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
