Year,NPV
Utility Bills,739389332.4663523
Utility Bills (volumetric),674790657.2394289
Utility Bills (demand),51156824.9933406
Utility Bills (res),630550314.1499912
Utility Bills (work),66760422.94165989
Utility Bills (pub L2),17933290.73586712
Utility Bills (DCFC),24145304.638834294
Incremental upfront vehicle cost,27363794.200250745
Charging infrastructure cost,294898947.0919828
Charging infrastructure cost (res),155179052.49073488
Charging infrastructure cost (work L2),62776369.38785206
Charging infrastructure cost (public L2),34269544.039327405
Charging infrastructure cost (DCFC),42673981.17406849
Avoided vehicle gasoline,812616882.0095074
Vehicle O&M Savings,186580379.78259218
Federal EV Tax Credit,92077963.87972017
Total Energy Supply Cost,289906022.74222755
Energy Cost,245734618.43603885
Generation Capacity Cost,44171404.30618858
Vehicle Sales (NPV),70955.17968113135
Transmission and Distribution Cost,23666287.909750935
Distribution Cost,18103705.869224984
Transmission Cost,5562582.0405259505
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
