Year,NPV
Utility Bills,1945729343.3533542
Utility Bills (volumetric),1778751436.8321235
Utility Bills (demand),131151646.89198443
Utility Bills (res),1663346783.8369627
Utility Bills (work),173820526.4038986
Utility Bills (pub L2),46988963.82544006
Utility Bills (DCFC),61573069.287053026
Incremental upfront vehicle cost,62416754.85178747
Charging infrastructure cost,829811539.5369062
Charging infrastructure cost (res),428093757.2848009
Charging infrastructure cost (work L2),171785381.57814643
Charging infrastructure cost (public L2),103071228.94688787
Charging infrastructure cost (DCFC),126861171.727071
Avoided vehicle gasoline,2166274288.070375
Vehicle O&M Savings,506144869.7277008
Federal EV Tax Credit,210029634.65788567
Total Energy Supply Cost,773870118.657097
Energy Cost,658727916.6989876
Generation Capacity Cost,115142201.95810933
Vehicle Sales (NPV),195326.94735562152
Transmission and Distribution Cost,76097026.88732752
Distribution Cost,61443689.470990114
Transmission Cost,14653337.416337404
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
