Year,NPV
Utility Bills,756040224.1889669
Utility Bills (volumetric),615587858.2525198
Utility Bills (demand),123973932.81727014
Utility Bills (res),442485376.4776993
Utility Bills (work),264891436.8077817
Utility Bills (pub L2),19254090.719473775
Utility Bills (DCFC),29409320.184012156
Incremental upfront vehicle cost,27363794.200250745
Charging infrastructure cost,514567236.6949173
Charging infrastructure cost (res),155179052.49073488
Charging infrastructure cost (work L2),250642135.4094953
Charging infrastructure cost (public L2),40462917.67631027
Charging infrastructure cost (DCFC),68283131.11837682
Avoided vehicle gasoline,812616882.0095074
Vehicle O&M Savings,186580379.78259218
Federal EV Tax Credit,92077963.87972017
Total Energy Supply Cost,268535748.3213214
Energy Cost,234764140.17434132
Generation Capacity Cost,33771608.14698009
Vehicle Sales (NPV),70955.17968113135
Transmission and Distribution Cost,23630251.688172072
Distribution Cost,18961849.38640435
Transmission Cost,4668402.301767715
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
