Year,NPV
Utility Bills,140731953.07514617
Utility Bills (volumetric),129682706.25234386
Utility Bills (demand),7950816.2239175495
Utility Bills (res),122423492.27967912
Utility Bills (work),9961343.819070071
Utility Bills (pub L2),2764782.0810923525
Utility Bills (DCFC),5582334.895304648
Incremental upfront vehicle cost,8166918.326882932
Charging infrastructure cost,89786127.65965945
Charging infrastructure cost (res),46316971.80417743
Charging infrastructure cost (work L2),18583029.87230523
Charging infrastructure cost (public L2),11149817.923383135
Charging infrastructure cost (DCFC),13736308.059793647
Avoided vehicle gasoline,242542588.48205715
Vehicle O&M Savings,55689153.09156774
Federal EV Tax Credit,27481320.94577954
Total Energy Supply Cost,92566149.0492411
Energy Cost,79816256.6984783
Generation Capacity Cost,12749892.350762848
Vehicle Sales (NPV),21178.288288888638
Transmission and Distribution Cost,24404446.231737945
Distribution Cost,20543353.984049004
Transmission Cost,3861092.247688944
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
