Year,NPV
Utility Bills,49153599.41765051
Utility Bills (volumetric),45308496.70489746
Utility Bills (demand),2741509.8791159764
Utility Bills (res),42710066.326528355
Utility Bills (work),3378790.6915594717
Utility Bills (pub L2),911332.2184487697
Utility Bills (DCFC),2153410.1811139137
Incremental upfront vehicle cost,2844984.6429078635
Charging infrastructure cost,31280789.24231346
Charging infrastructure cost (res),16136473.754522186
Charging infrastructure cost (work L2),6474184.140317819
Charging infrastructure cost (public L2),3884510.4841906917
Charging infrastructure cost (DCFC),4785620.863282761
Avoided vehicle gasoline,84498187.3030637
Vehicle O&M Savings,19401468.035377223
Federal EV Tax Credit,9573248.185941568
Total Energy Supply Cost,32260490.89027757
Energy Cost,27805169.21500635
Generation Capacity Cost,4455321.675271229
Vehicle Sales (NPV),7378.341597181421
Transmission and Distribution Cost,8672097.398166701
Distribution Cost,7297444.560328463
Transmission Cost,1374652.837838238
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
