Year,NPV
Utility Bills,8640034701.59904
Utility Bills (volumetric),7495637794.804268
Utility Bills (demand),941684714.0846533
Utility Bills (res),7288441534.798755
Utility Bills (work),852786655.7564025
Utility Bills (pub L2),212758656.9803297
Utility Bills (DCFC),286047854.06355196
Incremental upfront vehicle cost,303614094.5690308
Charging infrastructure cost,4036455913.7636137
Charging infrastructure cost (res),2082378342.438882
Charging infrastructure cost (work L2),835616385.5665553
Charging infrastructure cost (public L2),501369831.33993316
Charging infrastructure cost (DCFC),617091354.4182434
Avoided vehicle gasoline,10537417527.111689
Vehicle O&M Savings,2462042711.2566414
Federal EV Tax Credit,1021648073.6741176
Total Energy Supply Cost,4054269980.105384
Energy Cost,3509116456.969161
Generation Capacity Cost,545153523.1362242
Vehicle Sales (NPV),950129.7273004807
Transmission and Distribution Cost,644594933.9133005
Distribution Cost,560206470.2873642
Transmission Cost,84388463.62593621
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
