Year,NPV
Utility Bills,505166693.8713951
Utility Bills (volumetric),460815260.6682861
Utility Bills (demand),34899232.315643966
Utility Bills (res),431229022.3971255
Utility Bills (work),45533239.991490066
Utility Bills (pub L2),12152763.437316155
Utility Bills (DCFC),16251668.045463514
Incremental upfront vehicle cost,18724679.25213828
Charging infrastructure cost,205846232.3128348
Charging infrastructure cost (res),106187606.02809402
Charging infrastructure cost (work L2),42603980.388586104
Charging infrastructure cost (public L2),25562388.23315166
Charging infrastructure cost (DCFC),31492257.663003013
Avoided vehicle gasoline,556065635.4708384
Vehicle O&M Savings,127675171.72099228
Federal EV Tax Credit,63007722.073203415
Total Energy Supply Cost,197822431.02338478
Energy Cost,167745967.2065618
Generation Capacity Cost,30076463.81682305
Vehicle Sales (NPV),48553.97668361018
Transmission and Distribution Cost,19228262.809249934
Distribution Cost,15470818.488268627
Transmission Cost,3757444.320981312
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
