Year,NPV
Utility Bills,502674046.69336796
Utility Bills (volumetric),440481167.97789496
Utility Bills (demand),52209019.463337764
Utility Bills (res),366659156.6024675
Utility Bills (work),75564890.89803636
Utility Bills (pub L2),41652193.769033216
Utility Bills (DCFC),18797805.423830822
Incremental upfront vehicle cost,18724679.25213828
Charging infrastructure cost,299933004.0620863
Charging infrastructure cost (res),106187606.02809402
Charging infrastructure cost (work L2),72161176.13955039
Charging infrastructure cost (public L2),82728386.95672467
Charging infrastructure cost (DCFC),38855834.93771716
Avoided vehicle gasoline,556065635.4708384
Vehicle O&M Savings,127675171.72099228
Federal EV Tax Credit,63007722.073203415
Total Energy Supply Cost,192970248.90213645
Energy Cost,165211430.90940082
Generation Capacity Cost,27758817.992735717
Vehicle Sales (NPV),48553.97668361018
Transmission and Distribution Cost,19568624.167369418
Distribution Cost,15939379.384429213
Transmission Cost,3629244.782940207
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
