Year,NPV
Utility Bills,310741960.02860063
Utility Bills (volumetric),283602439.172211
Utility Bills (demand),21456791.34564847
Utility Bills (res),265029064.46120536
Utility Bills (work),27578015.446288947
Utility Bills (pub L2),7496527.658348863
Utility Bills (DCFC),10638352.462757403
Incremental upfront vehicle cost,11512570.269653272
Charging infrastructure cost,126565207.81735443
Charging infrastructure cost (res),65289786.61464311
Charging infrastructure cost (work L2),26195193.339620844
Charging infrastructure cost (public L2),15717116.003772505
Charging infrastructure cost (DCFC),19363111.859317973
Avoided vehicle gasoline,341896652.12833214
Vehicle O&M Savings,78501249.58226691
Federal EV Tax Credit,38739292.573767446
Total Energy Supply Cost,121875564.69444486
Energy Cost,103214423.24238501
Generation Capacity Cost,18661141.452059865
Vehicle Sales (NPV),29853.55523222575
Transmission and Distribution Cost,8922770.2239587
Distribution Cost,6594407.298176927
Transmission Cost,2328362.9257817757
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
