Year,NPV
Utility Bills,4051768843.6074324
Utility Bills (volumetric),3780341891.250556
Utility Bills (demand),180265153.85172418
Utility Bills (res),3561560767.4234786
Utility Bills (work),245629575.8987609
Utility Bills (pub L2),79910189.12886025
Utility Bills (DCFC),164668311.15633354
Incremental upfront vehicle cost,236371212.4855592
Charging infrastructure cost,2598458329.897854
Charging infrastructure cost (res),1340437784.7541475
Charging infrastructure cost (work L2),537802727.7948592
Charging infrastructure cost (public L2),322681636.6769155
Charging infrastructure cost (DCFC),397536180.671931
Avoided vehicle gasoline,7019405320.778163
Vehicle O&M Savings,1611684357.3114612
Federal EV Tax Credit,795378733.1601678
Total Energy Supply Cost,2711325019.1471434
Energy Cost,2332616143.738845
Generation Capacity Cost,378708875.408297
Vehicle Sales (NPV),612911.4402446302
Transmission and Distribution Cost,745555158.0883439
Distribution Cost,626509832.8042964
Transmission Cost,119045325.28404757
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
