Year,NPV
Utility Bills,1919852496.3825145
Utility Bills (volumetric),1779353685.4531782
Utility Bills (demand),104672551.30008978
Utility Bills (res),1663346783.8369627
Utility Bills (work),147943679.4330585
Utility Bills (pub L2),46988963.82544006
Utility Bills (DCFC),61573069.287053026
Incremental upfront vehicle cost,62416754.85178747
Charging infrastructure cost,829811539.5369062
Charging infrastructure cost (res),428093757.2848009
Charging infrastructure cost (work L2),171785381.57814643
Charging infrastructure cost (public L2),103071228.94688787
Charging infrastructure cost (DCFC),126861171.727071
Avoided vehicle gasoline,2166274288.070375
Vehicle O&M Savings,506144869.7277008
Federal EV Tax Credit,210029634.65788567
Total Energy Supply Cost,779266022.5921711
Energy Cost,662329016.2777181
Generation Capacity Cost,116937006.31445302
Vehicle Sales (NPV),195326.94735562152
Transmission and Distribution Cost,79379366.74746327
Distribution Cost,63913594.29134165
Transmission Cost,15465772.456121631
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
