Year,NPV
Utility Bills,1847617457.887266
Utility Bills (volumetric),1713890021.180549
Utility Bills (demand),99505531.11925921
Utility Bills (res),1601578775.2064042
Utility Bills (work),142177304.64654472
Utility Bills (pub L2),45406122.417705856
Utility Bills (DCFC),58455255.61661089
Incremental upfront vehicle cost,59907863.09810767
Charging infrastructure cost,796458993.4468436
Charging infrastructure cost (res),410887420.94392973
Charging infrastructure cost (work L2),164880826.58809304
Charging infrastructure cost (public L2),98928495.9528558
Charging infrastructure cost (DCFC),121762249.96196505
Avoided vehicle gasoline,2079204366.1967745
Vehicle O&M Savings,485801313.25538814
Federal EV Tax Credit,201587324.26105708
Total Energy Supply Cost,750141083.2008315
Energy Cost,638097675.3089696
Generation Capacity Cost,112043407.89186218
Vehicle Sales (NPV),187476.18204323662
Transmission and Distribution Cost,76570246.47994046
Distribution Cost,61644549.333992794
Transmission Cost,14925697.145947658
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
