Year,NPV
Utility Bills,1768320636.8654325
Utility Bills (volumetric),1627175603.330798
Utility Bills (demand),101697972.17259175
Utility Bills (res),1537733785.5631106
Utility Bills (work),125053855.2797884
Utility Bills (pub L2),34657755.16134714
Utility Bills (DCFC),70875240.86118634
Incremental upfront vehicle cost,102228485.27580348
Charging infrastructure cost,1123814164.571393
Charging infrastructure cost (res),579729508.742002
Charging infrastructure cost (work L2),232595735.2746929
Charging infrastructure cost (public L2),139557441.16481575
Charging infrastructure cost (DCFC),171931479.38988224
Avoided vehicle gasoline,3035839401.5310035
Vehicle O&M Savings,697041444.9645742
Federal EV Tax Credit,343994356.40462774
Total Energy Supply Cost,1160919070.3075707
Energy Cost,1000458325.0433552
Generation Capacity Cost,160460745.2642162
Vehicle Sales (NPV),265079.69116906135
Transmission and Distribution Cost,306977894.94972533
Distribution Cost,258398175.41765383
Transmission Cost,48579719.532071605
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
