Year,NPV
Utility Bills,6086603.164212188
Utility Bills (volumetric),5635438.998688992
Utility Bills (demand),307212.7234504359
Utility Bills (res),5398335.6977135185
Utility Bills (work),361745.2331673093
Utility Bills (pub L2),132647.54026103663
Utility Bills (DCFC),193874.6930703228
Incremental upfront vehicle cost,355536.2795139922
Charging infrastructure cost,3914039.062708535
Charging infrastructure cost (res),2019092.8712678375
Charging infrastructure cost (work L2),810089.9040524649
Charging infrastructure cost (public L2),486053.9424314788
Charging infrastructure cost (DCFC),598802.3449567542
Avoided vehicle gasoline,10570350.405617522
Vehicle O&M Savings,2427336.4622853855
Federal EV Tax Credit,1196363.9422021194
Total Energy Supply Cost,4067666.16047083
Energy Cost,3489073.2063394305
Generation Capacity Cost,578592.9541314
Vehicle Sales (NPV),923.2083485588487
Transmission and Distribution Cost,1111439.327461454
Distribution Cost,936156.3224235896
Transmission Cost,175283.0050378647
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
