Year,NPV
Utility Bills,25699945.058789384
Utility Bills (volumetric),23438710.249576565
Utility Bills (demand),1777758.8495913404
Utility Bills (res),22039063.91495571
Utility Bills (work),1933369.3367364316
Utility Bills (pub L2),601686.4040072076
Utility Bills (DCFC),1125825.4030900388
Incremental upfront vehicle cost,959670.1919694084
Charging infrastructure cost,10555342.453575004
Charging infrastructure cost (res),5445068.148375588
Charging infrastructure cost (work L2),2184639.969757028
Charging infrastructure cost (public L2),1310783.9818542167
Charging infrastructure cost (DCFC),1614850.3535881704
Avoided vehicle gasoline,28510997.016713254
Vehicle O&M Savings,6546581.781278385
Federal EV Tax Credit,3229247.9846158763
Total Energy Supply Cost,10119560.23731918
Energy Cost,8579980.154696817
Generation Capacity Cost,1539580.0826223623
Vehicle Sales (NPV),2489.726040693197
Transmission and Distribution Cost,765950.9931686653
Distribution Cost,565070.9389620645
Transmission Cost,200880.054206601
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
