Year,NPV
Utility Bills,3938621746.8313932
Utility Bills (volumetric),3219562795.707549
Utility Bills (demand),618889123.2463791
Utility Bills (res),2516532956.1252465
Utility Bills (work),1154259542.333413
Utility Bills (pub L2),85477217.58007237
Utility Bills (DCFC),182352030.79266155
Incremental upfront vehicle cost,236371212.4855592
Charging infrastructure cost,4444835538.592621
Charging infrastructure cost (res),1340437784.7541475
Charging infrastructure cost (work L2),2165048567.6330814
Charging infrastructure cost (public L2),349518973.7919543
Charging infrastructure cost (DCFC),589830212.4134369
Avoided vehicle gasoline,7019405320.778163
Vehicle O&M Savings,1611684357.3114612
Federal EV Tax Credit,795378733.1601678
Total Energy Supply Cost,2485112753.663333
Energy Cost,2199901704.838781
Generation Capacity Cost,285211048.82455206
Vehicle Sales (NPV),612911.4402446302
Transmission and Distribution Cost,673622393.8183974
Distribution Cost,578129309.3744391
Transmission Cost,95493084.44395816
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
