Year,NPV
Utility Bills,186753716.48817137
Utility Bills (volumetric),172137062.9148122
Utility Bills (demand),10956082.855722819
Utility Bills (res),160761115.80536717
Utility Bills (work),14718185.13819051
Utility Bills (pub L2),4600027.551170487
Utility Bills (DCFC),6674387.993443135
Incremental upfront vehicle cost,12483350.97035749
Charging infrastructure cost,58217588.441815004
Charging infrastructure cost (res),30016597.47951261
Charging infrastructure cost (work L2),12027647.450395405
Charging infrastructure cost (public L2),7216588.470237242
Charging infrastructure cost (DCFC),8956755.041669752
Avoided vehicle gasoline,198714653.49385077
Vehicle O&M Savings,40807895.571694605
Federal EV Tax Credit,42005926.93157713
Total Energy Supply Cost,69411921.57303335
Energy Cost,57043016.95224946
Generation Capacity Cost,12368904.62078387
Vehicle Sales (NPV),13954.764039719052
Transmission and Distribution Cost,6608536.181225657
Distribution Cost,5165045.064082083
Transmission Cost,1443491.1171435732
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
