Year,NPV
Utility Bills,96106530.2875118
Utility Bills (volumetric),88813686.10562101
Utility Bills (demand),5492679.03080284
Utility Bills (res),83128540.68190624
Utility Bills (work),7344745.223503464
Utility Bills (pub L2),2239389.529755527
Utility Bills (DCFC),3393854.8523465768
Incremental upfront vehicle cost,3617859.4067732403
Charging infrastructure cost,39772282.64586746
Charging infrastructure cost (res),20516885.02664097
Charging infrastructure cost (work L2),8231666.581137983
Charging infrastructure cost (public L2),4938999.948682791
Charging infrastructure cost (DCFC),6084731.089405718
Avoided vehicle gasoline,107439404.87597166
Vehicle O&M Savings,24668572.397789575
Federal EV Tax Credit,12173937.771236409
Total Energy Supply Cost,38373707.237708166
Energy Cost,32476611.312961567
Generation Capacity Cost,5897095.92474661
Vehicle Sales (NPV),9381.286442859293
Transmission and Distribution Cost,3443070.3696937985
Distribution Cost,2681577.003563117
Transmission Cost,761493.3661306807
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
