Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,106716.87287134097,128857.85671199721,151012.6165504791,173437.3583673053,195680.75981435477,217490.65849661274,319099.0825344196,420692.3860501578,522991.00612435583,625901.1297184282,818725.5539002573,805463.9984903072,784899.1749823072,764348.9376100961,745061.5557940608,725733.0528532553,701384.5279388179,607097.6593592982,513714.4411395464,422448.16487974225
Utility Bills (res),87474.1864932137,105629.8579671789,123791.70034617452,141911.56155249453,160063.97772149587,178274.28610679635,261570.0971684307,344858.1104811627,428057.3541065905,511200.1935353564,698336.1899821342,688262.6702152899,670272.0607938423,652316.4859175467,634014.8175598073,615759.6119899016,597137.5489626388,514827.95888085477,433189.43766189093,353658.4483040672
Utility Bills (work),9521.51715900743,11492.25300983742,13466.00113037834,15752.02382314246,17824.016727000533,19402.183909211188,28462.628568776214,37519.66285304884,47358.6425649847,57870.406663414855,72877.87827872441,70421.89541497728,68640.53131183519,66822.49754363988,66352.26743342166,65799.20384060191,61673.17548406798,53296.63037193145,45110.74890265675,36924.07085717028
Utility Bills (pub L2),2657.3585757556057,3207.759909259888,3759.6889293796185,4312.966830528869,4865.335920327516,5416.400726863131,7945.174429392019,10472.626229681338,13007.324926675645,15543.542233460663,17626.388697139657,17326.119380537188,17000.302503249113,16677.19154673047,16476.32624334185,16274.153099903055,15729.897944760984,14237.76414968987,12764.720693425797,11294.237081083482
Utility Bills (DCFC),7063.810643364235,8527.985825720994,9995.226144546647,11460.806161139446,12927.429445530854,14397.787753742059,21121.182367820653,27841.986486264926,34567.68452610497,41286.987286196294,29885.096942259126,29453.313479502824,28986.280373380618,28532.762602179002,28218.144557489984,27900.083922848647,26843.905547350107,24735.305956822027,22649.533881572923,20571.408637421308
Incremental upfront vehicle cost,50490.84013880251,63107.367441083254,37805.16320742573,18902.466496375597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,56006.66060818725,98157.80402189384,98247.83657121284,98338.13921817984,98428.71277308765,98519.5580486604,452329.4352128169,452748.6485851221,453169.119597544,453590.8520230034,471621.3971931086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),28924.63344340199,50688.66703819334,50730.22999553313,50771.91764174494,50813.730350895385,50855.66849817335,233469.06789147484,233662.59509514924,233856.7028804347,234051.39298907598,242375.0802042733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),11638.025914096084,20390.028458499404,20401.830285892185,20413.667518767164,20425.540263340725,20437.44862614805,93801.83409264099,93856.78626158558,93911.903287037,93967.18566356486,96330.70178639857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),6982.81554845765,12234.017075099646,12241.098171535315,12248.20051126029,12255.324158004429,12262.469175688842,56281.10045558461,56314.07175695137,56347.141972222176,56380.31139813888,57798.42107183917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
