Year,NPV
Utility Bills,4374812.7977893
Utility Bills (volumetric),3848085.2378935525
Utility Bills (demand),436471.0902688365
Utility Bills (res),3663024.0503822514
Utility Bills (work),389791.96629407705
Utility Bills (pub L2),102446.74507222795
Utility Bills (DCFC),219550.03604074288
Incremental upfront vehicle cost,156935.93587922308
Charging infrastructure cost,1726810.3877202529
Charging infrastructure cost (res),890790.7718607819
Charging infrastructure cost (work L2),357398.25446870853
Charging infrastructure cost (public L2),214438.95268122514
Charging infrastructure cost (DCFC),264182.40870953735
Avoided vehicle gasoline,4663922.908828557
Vehicle O&M Savings,1070953.0923439516
Federal EV Tax Credit,528082.521362654
Total Energy Supply Cost,1694395.5603069898
Energy Cost,1426466.7735390628
Generation Capacity Cost,267928.7867679272
Vehicle Sales (NPV),407.3069620202566
Transmission and Distribution Cost,189230.49815109198
Distribution Cost,156457.46852300997
Transmission Cost,32773.02962808206
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
