Year,NPV
Utility Bills,111148537.57406385
Utility Bills (volumetric),101151210.24287514
Utility Bills (demand),7922243.121691947
Utility Bills (res),94696043.24796484
Utility Bills (work),9988437.750568207
Utility Bills (pub L2),2758911.0921612913
Utility Bills (DCFC),3705145.483369515
Incremental upfront vehicle cost,4103944.1639212756
Charging infrastructure cost,45119855.693061166
Charging infrastructure cost (res),23275478.80963723
Charging infrastructure cost (work L2),9338454.468884602
Charging infrastructure cost (public L2),5603072.681330759
Charging infrastructure cost (DCFC),6902849.733208574
Avoided vehicle gasoline,121883105.58769584
Vehicle O&M Savings,27985148.367803555
Federal EV Tax Credit,13809591.598465867
Total Energy Supply Cost,43487559.07344695
Energy Cost,36855523.85635166
Generation Capacity Cost,6632035.2170952875
Vehicle Sales (NPV),10642.634179448021
Transmission and Distribution Cost,3790474.0017825845
Distribution Cost,2955221.5259645786
Transmission Cost,835252.4758180056
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
