Year,NPV
Utility Bills,2845386913.558973
Utility Bills (volumetric),2601185355.1253705
Utility Bills (demand),191628796.7122107
Utility Bills (res),2432092649.451266
Utility Bills (work),254429208.35489094
Utility Bills (pub L2),69071101.565795
Utility Bills (DCFC),89793954.18702114
Incremental upfront vehicle cost,91213804.67882901
Charging infrastructure cost,1212664245.9804578
Charging infrastructure cost (res),625604693.7118161
Charging infrastructure cost (work L2),251042533.39176956
Charging infrastructure cost (public L2),150625520.03506178
Charging infrastructure cost (DCFC),185391498.84181038
Avoided vehicle gasoline,3165732850.418462
Vehicle O&M Savings,739666251.8185108
Federal EV Tax Credit,306930440.6796082
Total Energy Supply Cost,1132206104.0568132
Energy Cost,963978769.2565011
Generation Capacity Cost,168227334.8003118
Vehicle Sales (NPV),285445.53163800354
Transmission and Distribution Cost,93882430.1765622
Distribution Cost,72390146.20557886
Transmission Cost,21492283.970983356
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
