Year,NPV
Utility Bills,15807521209.235943
Utility Bills (volumetric),14553610101.71048
Utility Bills (demand),903482610.3059865
Utility Bills (res),13754911313.836483
Utility Bills (work),1115370517.2308033
Utility Bills (pub L2),306076470.29790974
Utility Bills (DCFC),631162907.8707445
Incremental upfront vehicle cost,787905893.3699868
Charging infrastructure cost,10474971074.856491
Charging infrastructure cost (res),5403961636.917302
Charging infrastructure cost (work L2),2168500699.5921383
Charging infrastructure cost (public L2),1301100419.7552829
Charging infrastructure cost (DCFC),1601408318.5917664
Avoided vehicle gasoline,27345557034.124474
Vehicle O&M Savings,6389225049.103651
Federal EV Tax Credit,2651268674.9294252
Total Energy Supply Cost,10522409785.174774
Energy Cost,9104773328.046528
Generation Capacity Cost,1417636457.1282473
Vehicle Sales (NPV),2465673.2486026683
Transmission and Distribution Cost,2814967851.1122985
Distribution Cost,2377208165.5362644
Transmission Cost,437759685.57603455
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
