Year,NPV
Utility Bills,729355181.5782413
Utility Bills (volumetric),675150246.0640254
Utility Bills (demand),40503694.938916355
Utility Bills (res),631204343.8341688
Utility Bills (work),56394458.60453875
Utility Bills (pub L2),17707857.021996386
Utility Bills (DCFC),24048522.11753751
Incremental upfront vehicle cost,27363794.200250745
Charging infrastructure cost,300816870.8022253
Charging infrastructure cost (res),155179052.49073488
Charging infrastructure cost (work L2),62260046.32816135
Charging infrastructure cost (public L2),37356027.796896815
Charging infrastructure cost (DCFC),46021744.186432265
Avoided vehicle gasoline,812616882.0095074
Vehicle O&M Savings,186580379.78259218
Federal EV Tax Credit,92077963.87972017
Total Energy Supply Cost,292277230.1571799
Energy Cost,247125979.04282323
Generation Capacity Cost,45151251.114356644
Vehicle Sales (NPV),70955.17968113135
Transmission and Distribution Cost,24862720.420814637
Distribution Cost,19013313.89120623
Transmission Cost,5849406.529608412
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
