Year,NPV
Utility Bills,19358060.263192527
Utility Bills (volumetric),17282926.445397355
Utility Bills (demand),1683638.8227750175
Utility Bills (res),16372758.785104804
Utility Bills (work),1740707.891481642
Utility Bills (pub L2),446789.40447138366
Utility Bills (DCFC),797804.1821346983
Incremental upfront vehicle cost,716627.8133953905
Charging infrastructure cost,7882754.611858148
Charging infrastructure cost (res),4066389.8421296375
Charging infrastructure cost (work L2),1631494.4453134995
Charging infrastructure cost (public L2),978896.6671880998
Charging infrastructure cost (DCFC),1205973.6572269124
Avoided vehicle gasoline,21291755.96824186
Vehicle O&M Savings,4888965.993035903
Federal EV Tax Credit,2411421.071001147
Total Energy Supply Cost,7478479.239111397
Energy Cost,6340410.983591073
Generation Capacity Cost,1138068.2555203203
Vehicle Sales (NPV),1859.331533205091
Transmission and Distribution Cost,838005.23317368
Distribution Cost,696659.6341639486
Transmission Cost,141345.59900973138
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
