Year,NPV
Utility Bills,346931094.1473584
Utility Bills (volumetric),316513521.05726415
Utility Bills (demand),24000505.530714955
Utility Bills (res),295649444.98712176
Utility Bills (work),31465362.749304697
Utility Bills (pub L2),8332626.804122996
Utility Bills (DCFC),11483659.606808957
Incremental upfront vehicle cost,12879162.844035186
Charging infrastructure cost,141581102.01713789
Charging infrastructure cost (res),73035867.4541048
Charging infrastructure cost (work L2),29303029.868222136
Charging infrastructure cost (public L2),17581817.92093328
Charging infrastructure cost (DCFC),21660386.773877673
Avoided vehicle gasoline,382463976.2042596
Vehicle O&M Savings,87815233.39912617
Federal EV Tax Credit,43337816.47660686
Total Energy Supply Cost,135939631.41949537
Energy Cost,115398183.09970163
Generation Capacity Cost,20541448.319793724
Vehicle Sales (NPV),33395.450122698996
Transmission and Distribution Cost,11772412.34121616
Distribution Cost,9200245.767541269
Transmission Cost,2572166.5736748925
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
