Year,NPV
Utility Bills,497823398.59824306
Utility Bills (volumetric),461448892.8287487
Utility Bills (demand),27189971.461785953
Utility Bills (res),430983525.0580364
Utility Bills (work),38671110.72204251
Utility Bills (pub L2),12373842.649415346
Utility Bills (DCFC),15794920.16874881
Incremental upfront vehicle cost,18724679.25213828
Charging infrastructure cost,201796651.30891317
Charging infrastructure cost (res),106187606.02809402
Charging infrastructure cost (work L2),42957295.53700878
Charging infrastructure cost (public L2),23450335.62104658
Charging infrastructure cost (DCFC),29201414.122763775
Avoided vehicle gasoline,556065635.4708384
Vehicle O&M Savings,127675171.72099228
Federal EV Tax Credit,63007722.073203415
Total Energy Supply Cost,199365321.77306432
Energy Cost,168734863.1614424
Generation Capacity Cost,30630458.611622036
Vehicle Sales (NPV),48553.97668361018
Transmission and Distribution Cost,20007424.756982766
Distribution Cost,16012639.594911825
Transmission Cost,3994785.162070942
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
