Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,12420760.308539014,14997490.372238675,17576074.36982772,20196729.70048416,22788768.18912179,25313875.623072837,37124822.21484875,48933897.93229626,60852542.450258836,72863336.55826926,93054957.6234881,91384556.75748345,88804618.99026254,86229151.44194324,83821060.29602838,81402248.71503732,78354284.3853619,66538100.110150404,54767720.63341919,43022225.451445684
Utility Bills (res),10750741.584905325,12982102.934997614,15214182.804050116,17445032.105358392,19677013.2287587,21910313.915045727,32134596.445761397,42358079.504365355,52580437.33019428,62802668.406605214,80528831.10025187,79252042.0405834,77022727.96103995,74797093.76217291,72559204.61450982,70323732.9047026,67972332.58743794,57771076.885999456,47586250.58081105,37418420.1183073
Utility Bills (work),961526.7081066574,1160327.2253523264,1359613.7864675233,1601762.7925418862,1814440.7556157147,1959330.0194829858,2872883.8650947306,3785921.8734627995,4806842.690140463,5919402.356726125,7270044.691496611,6966696.771504362,6766126.87918851,6562929.374309955,6536141.479989458,6497437.358140954,5991221.656597124,5050953.173086869,4135687.8581144963,3221394.0973021155
Utility Bills (pub L2),313930.72788800613,378898.17322422453,444109.7479204141,509972.7178706582,575406.9950808709,639900.0769964864,938191.2616651554,1236271.0022230241,1536570.3913404634,1838212.827122105,2293744.1893087584,2251573.5875362493,2185292.967791689,2120055.2279774076,2060222.85983445,1999843.495120149,1925232.0279047862,1625363.2254995895,1326387.992990381,1028118.0257730728
Utility Bills (DCFC),394561.2876390257,476162.0386645105,558168.0313896668,639962.0847132239,721907.2096665064,804331.611547638,1179150.6423274681,1553625.5522450802,1928692.0385836265,2303052.967815823,2962337.6424308643,2914244.357859438,2830471.182242398,2749073.077482977,2665491.341694652,2581234.957073618,2465498.1134220376,2090706.8255644883,1719394.2015032626,1354293.2100631916
Incremental upfront vehicle cost,6024272.143109777,7529602.49136642,4510691.264992191,2255331.8985609217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,6551628.5322706755,11482341.832571117,11492769.070675747,11503227.590494692,11513717.485873092,11524238.850937618,52844948.63270488,52893440.36251086,52942077.56750625,52990860.684116624,55079031.42563497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),3451118.3221297986,6047875.693295948,6052834.742608636,6057808.669069261,6062797.517309269,6067801.3320939895,27821730.590400744,27844792.582171947,27867923.75991846,27891124.331198215,28884229.271988057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),1400096.7933466586,2452994.4916529665,2454414.294359217,2455838.3564735875,2457266.690774301,2458699.310077914,11270751.569373142,11277354.342659662,11283976.924266025,11290619.37361722,11574950.702793125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),764311.1442535769,1339086.7229125865,1339861.7914908354,1340639.18527482,1341418.911240154,1342200.9763833839,6152689.635117606,6156294.081060086,6159909.340340398,6163535.445398548,6318751.573727882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
