Year,NPV
Utility Bills,479047948.80777204
Utility Bills (volumetric),443757599.7197496
Utility Bills (demand),26504003.84064478
Utility Bills (res),414577056.79918396
Utility Bills (work),36829772.06590483
Utility Bills (pub L2),11888000.439231463
Utility Bills (DCFC),15753119.503451642
Incremental upfront vehicle cost,17971942.285354745
Charging infrastructure cost,193685314.43887824
Charging infrastructure cost (res),101919331.98103823
Charging infrastructure cost (work L2),41230601.65575111
Charging infrastructure cost (public L2),22507735.521945477
Charging infrastructure cost (DCFC),28027645.280143425
Avoided vehicle gasoline,533713741.7603312
Vehicle O&M Savings,122543134.87999801
Federal EV Tax Credit,60474795.28932235
Total Energy Supply Cost,191830797.11849728
Energy Cost,162411282.443873
Generation Capacity Cost,29419514.674624264
Vehicle Sales (NPV),46602.317891649254
Transmission and Distribution Cost,19290395.513012208
Distribution Cost,15439621.731627297
Transmission Cost,3850773.7813849077
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
