Year,NPV
Utility Bills,18756158.08915781
Utility Bills (volumetric),17223649.143674493
Utility Bills (demand),1184289.5834343303
Utility Bills (res),16157145.965761933
Utility Bills (work),1395429.1238670135
Utility Bills (pub L2),485746.82207121194
Utility Bills (DCFC),717836.1774576446
Incremental upfront vehicle cost,706906.1182524296
Charging infrastructure cost,7770289.21426628
Charging infrastructure cost (res),4008372.474309684
Charging infrastructure cost (work L2),1608215.9581815777
Charging infrastructure cost (public L2),964929.5749089468
Charging infrastructure cost (DCFC),1188771.206866072
Avoided vehicle gasoline,20990879.140010167
Vehicle O&M Savings,4819542.368518924
Federal EV Tax Credit,2378707.994456557
Total Energy Supply Cost,7430749.300422679
Energy Cost,6311853.622621242
Generation Capacity Cost,1118895.6778014412
Vehicle Sales (NPV),1832.8195187645244
Transmission and Distribution Cost,868008.6522991478
Distribution Cost,720256.7355002833
Transmission Cost,147751.91679886443
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
