Year,NPV
Utility Bills,3934589396.7727647
Utility Bills (volumetric),3583808107.385723
Utility Bills (demand),255582452.53922424
Utility Bills (res),2557209833.31382
Utility Bills (work),275985818.38896143
Utility Bills (pub L2),358713284.6700102
Utility Bills (DCFC),742680460.3999726
Incremental upfront vehicle cost,236371212.4855592
Charging infrastructure cost,5038760319.832916
Charging infrastructure cost (res),1340437784.7541475
Charging infrastructure cost (work L2),626726176.6520649
Charging infrastructure cost (public L2),1402430642.2663693
Charging infrastructure cost (DCFC),1669165716.1603343
Avoided vehicle gasoline,7019405320.778163
Vehicle O&M Savings,1611684357.3114612
Federal EV Tax Credit,795378733.1601678
Total Energy Supply Cost,2636715324.880383
Energy Cost,2290446834.0484195
Generation Capacity Cost,346268490.83196396
Vehicle Sales (NPV),612911.4402446302
Transmission and Distribution Cost,888069356.6077405
Distribution Cost,764386231.2190619
Transmission Cost,123683125.38867883
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
