Year,NPV
Utility Bills,272857398.0965549
Utility Bills (volumetric),252633601.42526975
Utility Bills (demand),14927331.847824205
Utility Bills (res),236362272.3934017
Utility Bills (work),20815336.807536025
Utility Bills (pub L2),6807778.995078888
Utility Bills (DCFC),8872009.900538241
Incremental upfront vehicle cost,18242760.935765795
Charging infrastructure cost,85077833.22147383
Charging infrastructure cost (res),43865559.48881111
Charging infrastructure cost (work L2),17576925.32458632
Charging infrastructure cost (public L2),10546155.194751792
Charging infrastructure cost (DCFC),13089193.213324595
Avoided vehicle gasoline,290396301.0253353
Vehicle O&M Savings,59635634.40863069
Federal EV Tax Credit,61386088.13592161
Total Energy Supply Cost,101529256.77837043
Energy Cost,83512936.85757183
Generation Capacity Cost,18016319.920798607
Vehicle Sales (NPV),20393.16477198567
Transmission and Distribution Cost,8219268.230057904
Distribution Cost,6115350.013238771
Transmission Cost,2103918.2168191336
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
