Year,NPV
Utility Bills,1946744758.0118544
Utility Bills (volumetric),1803066781.4771905
Utility Bills (demand),106990888.72329612
Utility Bills (res),1686128712.0428317
Utility Bills (work),149224540.64332783
Utility Bills (pub L2),48190434.49483111
Utility Bills (DCFC),63201070.83086356
Incremental upfront vehicle cost,73279360.36045423
Charging infrastructure cost,805569597.6296871
Charging infrastructure cost (res),415560224.57582235
Charging infrastructure cost (work L2),166728679.98101026
Charging infrastructure cost (public L2),100037207.98860618
Charging infrastructure cost (DCFC),123243485.08424821
Avoided vehicle gasoline,2176143788.242034
Vehicle O&M Savings,499651597.2931765
Federal EV Tax Credit,246581824.39981484
Total Energy Supply Cost,779861088.228419
Energy Cost,659693732.3266407
Generation Capacity Cost,120167355.90177791
Vehicle Sales (NPV),190013.7529923637
Transmission and Distribution Cost,83720519.32985038
Distribution Cost,68122383.07805258
Transmission Cost,15598136.25179779
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
