Year,NPV
Utility Bills,4094184022.0321465
Utility Bills (volumetric),3768203773.801164
Utility Bills (demand),234659417.34623188
Utility Bills (res),3562931970.9954405
Utility Bills (work),288118317.9912748
Utility Bills (pub L2),79682801.89603956
Utility Bills (DCFC),163450931.14939106
Incremental upfront vehicle cost,236371212.4855592
Charging infrastructure cost,2547339260.6314898
Charging infrastructure cost (res),1340437784.7541475
Charging infrastructure cost (work L2),542262730.096519
Charging infrastructure cost (public L2),296020567.7890734
Charging infrastructure cost (DCFC),368618177.9917499
Avoided vehicle gasoline,7019405320.778163
Vehicle O&M Savings,1611684357.3114612
Federal EV Tax Credit,795378733.1601678
Total Energy Supply Cost,2690100110.2909026
Energy Cost,2317591587.627715
Generation Capacity Cost,372508522.663188
Vehicle Sales (NPV),612911.4402446302
Transmission and Distribution Cost,708780543.5587722
Distribution Cost,596276617.6141981
Transmission Cost,112503925.94457416
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
